scale,absort.x,test,test_name,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description,absort.y,scale_description,primary_function
List Learning List A Recall vs. Recognition Index,nab_56,nab,NAB,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,A comparison of the number of daily living tasks recalled versus those recognized,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning Semantic Clusters,nab_57,nab,NAB,Attention/Executive,Executive,Organization,Planning,Verbal,Untimed,npsych_test,t_score,Number of semantically related clusters of words recalled during the List Learning task,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning Perseverations,nab_58,nab,NAB,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,t_score,Number of repeated responses or perseverations made during the List Learning task,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
List Learning Intrusions,nab_59,nab,NAB,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Untimed,npsych_test,t_score,Number of non-list words incorrectly recalled during the List Learning task,NA,"LL Verbal list learning task involving three learning trials of a 12-word list, followed by an interference list, and then short delay free recall, long delay free recall, and long delay forced-choice recognition tasks; the word list includes three embedded semantic categories with 4 words in each category","Explicit learning of verbal information across trials, delayed free recall, and delayed recognition"
Shape Learning Trial 1 Immediate Recognition,nab_60,nab,NAB,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized on the first trial of a shape-learning task,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Trial 2 Immediate Recognition,nab_61,nab,NAB,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized on the second trial of a shape-learning task,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Trial 3 Immediate Recognition,nab_62,nab,NAB,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized on the third trial of a shape-learning task,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Immediate Recognition,nab_63,nab,NAB,Memory,Learning Efficiency,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized immediately after all learning trials,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Delayed Recognition,nab_64,nab,NAB,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Total shapes correctly recognized after a delay following the initial learning trials,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Percent Retention,nab_65,nab,NAB,Memory,Rapid Forgetting,Rapid Forgetting,Simultaneous,Nonverbal,Untimed,npsych_test,percentile,"Percentage of shapes retained after a delay, calculated as the ratio of shapes recognized after the delay to the shapes recognized immediately",NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Delayed Forced-Choice Recognition,nab_66,nab,NAB,Memory,Delayed Recall,Recognition Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Number of shapes correctly recognized after a delay using a forced-choice format,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Delayed Forced-Choice Recognition False Alarms,nab_67,nab,NAB,Memory,Delayed Recall,Recognition Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,"Number of false alarms, or incorrect recognitions, in the forced-choice recognition task after a delay",NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Shape Learning Discriminability Index,nab_68,nab,NAB,Memory,Delayed Recall,Recognition Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,Measure of the ability to distinguish between target and non-target shapes in the forced-choice recognition task after a delay,NA,"SHL Visual learning task involving three learning trials and multiple-choice immediate recognition of nine visual stimuli, followed by delayed recognition and forced-choice recall","Explicit learning of visual information across trials, delayed recognition"
Story Learning Trial 1 Phrase Unit Immediate Recall,nab_69,nab,NAB,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of important phrases recalled from the story on the first attempt,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Trial 2 Phrase Unit Immediate Recall,nab_70,nab,NAB,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The number of important phrases recalled from the story on the second attempt,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Phrase Unit Immediate Recall,nab_71,nab,NAB,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of important phrases recalled immediately after hearing the entire story,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Thematic Unit Immediate Recall,nab_72,nab,NAB,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of key ideas or themes recalled immediately after hearing the entire story,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Trial 1 Thematic Unit Immediate Recall,nab_73,nab,NAB,Memory,Learning Efficiency,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of key ideas or themes recalled from the story on the first attempt,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Trial 2 Thematic Unit Immediate Recall,nab_74,nab,NAB,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The number of key ideas or themes recalled from the story on the second attempt,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Phrase Unit Delayed Recall,nab_75,nab,NAB,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"The number of important phrases recalled after a delay, without hearing the story again",NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Thematic Unit Delayed Recall,nab_76,nab,NAB,Memory,Delayed Recall,Story Memory,Sequential,Verbal,Untimed,npsych_test,t_score,"The number of key ideas or themes recalled after a delay, without hearing the story again",NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Story Learning Phrase Unit Percent Retention,nab_77,nab,NAB,Memory,Rapid Forgetting,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The percentage of important phrases retained after a delay compared to the initial recall immediately after hearing the story,NA,"STL Verbal learning task involving immediate and delayed free recall of a five-sentence story; two learning trials are provided, and recall is scored for both verbatim and gist elements",Explicit learning and delayed free recall of logically organized verbal information
Daily Living Memory Immediate Recall,nab_78,nab,NAB Daily Living,Daily Living,Everyday Memory,Everyday Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of daily living tasks recalled immediately after presentation,NA,"DLM Verbal learning task involving three-trial learning with immediate recall, delayed recall, and delayed multiple-choice recognition of information encountered in daily living, including medication instructions, and a name, address, and phone number",Explicit learning and delayed free and recognition recall of verbal information likely to be encountered in daily living
Daily Living Memory Delayed Recall,nab_79,nab,NAB Daily Living,Daily Living,Everyday Memory,Everyday Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of daily living tasks recalled after a delay,NA,"DLM Verbal learning task involving three-trial learning with immediate recall, delayed recall, and delayed multiple-choice recognition of information encountered in daily living, including medication instructions, and a name, address, and phone number",Explicit learning and delayed free and recognition recall of verbal information likely to be encountered in daily living
Daily Living Memory Retention,nab_80,nab,NAB Daily Living,Daily Living,Everyday Memory,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,The percentage of daily living tasks retained over time compared to the initial recall,NA,"DLM Verbal learning task involving three-trial learning with immediate recall, delayed recall, and delayed multiple-choice recognition of information encountered in daily living, including medication instructions, and a name, address, and phone number",Explicit learning and delayed free and recognition recall of verbal information likely to be encountered in daily living
Daily Living Memory Delayed Recognition,nab_81,nab,NAB Daily Living,Daily Living,Everyday Memory,Recognition Memory,Sequential,Verbal,Untimed,npsych_test,t_score,The number of daily living tasks correctly recognized after a delay,NA,"DLM Verbal learning task involving three-trial learning with immediate recall, delayed recall, and delayed multiple-choice recognition of information encountered in daily living, including medication instructions, and a name, address, and phone number",Explicit learning and delayed free and recognition recall of verbal information likely to be encountered in daily living
Daily Living Memory Recall vs. Recognition,nab_82,nab,NAB Daily Living,Daily Living,Everyday Memory,Rapid Forgetting,Sequential,Verbal,Untimed,npsych_test,t_score,A comparison of the number of daily living tasks recalled versus those recognized,NA,"DLM Verbal learning task involving three-trial learning with immediate recall, delayed recall, and delayed multiple-choice recognition of information encountered in daily living, including medication instructions, and a name, address, and phone number",Explicit learning and delayed free and recognition recall of verbal information likely to be encountered in daily living
Medication Instructions Immediate Recall,nab_83,nab,NAB Daily Living,Daily Living,Everyday Memory,Everyday Memory,Attention,Verbal,Untimed,npsych_test,t_score,The number of medication instructions recalled immediately after presentation,NA,"DLM Verbal learning task involving three-trial learning with immediate recall, delayed recall, and delayed multiple-choice recognition of information encountered in daily living, including medication instructions, and a name, address, and phone number",Explicit learning and delayed free and recognition recall of verbal information likely to be encountered in daily living
Medication Instructions Delayed Recall,nab_84,nab,NAB Daily Living,Daily Living,Everyday Memory,Everyday Memory,Attention,Verbal,Untimed,npsych_test,t_score,The number of medication instructions recalled after a delay,NA,"DLM Verbal learning task involving three-trial learning with immediate recall, delayed recall, and delayed multiple-choice recognition of information encountered in daily living, including medication instructions, and a name, address, and phone number",Explicit learning and delayed free and recognition recall of verbal information likely to be encountered in daily living
Medication Instructions Delayed Recognition,nab_85,nab,NAB Daily Living,Daily Living,Everyday Memory,Recognition Memory,Attention,Verbal,Untimed,npsych_test,t_score,The number of medication instructions correctly recognized after a delay,NA,"DLM Verbal learning task involving three-trial learning with immediate recall, delayed recall, and delayed multiple-choice recognition of information encountered in daily living, including medication instructions, and a name, address, and phone number",Explicit learning and delayed free and recognition recall of verbal information likely to be encountered in daily living
Name/Address/Phone Immediate Recall,nab_86,nab,NAB Daily Living,Daily Living,Everyday Memory,Everyday Memory,Attention,Verbal,Untimed,npsych_test,t_score,"The number of details about a name, address, and phone number recalled immediately after presentation",NA,"DLM Verbal learning task involving three-trial learning with immediate recall, delayed recall, and delayed multiple-choice recognition of information encountered in daily living, including medication instructions, and a name, address, and phone number",Explicit learning and delayed free and recognition recall of verbal information likely to be encountered in daily living
Name/Address/Phone Delayed Recall,nab_87,nab,NAB Daily Living,Daily Living,Everyday Memory,Everyday Memory,Attention,Verbal,Untimed,npsych_test,t_score,"The number of details about a name, address, and phone number recalled after a delay",NA,"DLM Verbal learning task involving three-trial learning with immediate recall, delayed recall, and delayed multiple-choice recognition of information encountered in daily living, including medication instructions, and a name, address, and phone number",Explicit learning and delayed free and recognition recall of verbal information likely to be encountered in daily living
Name/Address/Phone Delayed Recognition,nab_88,nab,NAB Daily Living,Daily Living,Everyday Memory,Recognition Memory,Attention,Verbal,Untimed,npsych_test,t_score,"The number of details about a name, address, and phone number correctly recognized after a delay",NA,"DLM Verbal learning task involving three-trial learning with immediate recall, delayed recall, and delayed multiple-choice recognition of information encountered in daily living, including medication instructions, and a name, address, and phone number",Explicit learning and delayed free and recognition recall of verbal information likely to be encountered in daily living
Visual Discrimination,nab_89,nab,NAB,Visual Perception/Construction,Perception,Visuoperception,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,"Perceptual processing, discrimination, and pattern matching of a series of abstract images requiring close attention to visual detail",NA,"VIS Visual match-to-target paradigm, in which the examinee matches a target visual design from an array of four similar designs presented beneath the target","Visuoperceptual and visuospatial skills, attention to detail"
Design Construction,nab_90,nab,NAB,Visual Perception/Construction,Construction,Figure Construction,Simultaneous,Nonverbal,Timed,npsych_test,t_score,Constructing and recreating abstract visual designs (tangrams) from a model using flat polygons (tans) to reproduce each stimulus,NA,DES Visuoconstruction assembly task using plastic manipulatives (tans) to copy two-dimensional target designs (tangrams),"Visuoconstruction, visuospatial skills"
Figure Drawing Copy,nab_91,nab,NAB,Visual Perception/Construction,Organization,Figure Copy,Planning,Nonverbal,Untimed,npsych_test,t_score,The accuracy of copying a figure from a model,NA,"FGD Visuoconstruction drawing task involving a copy and immediate recall of a geometric figure of moderate complexity; the production is scored for the presence, accuracy, and placement of the elements, as well as overall organizational skill","Visuoconstruction, visuospatial skill, visual organization, and encoding of visuospatial material"
Figure Drawing Copy Organization,nab_92,nab,NAB,Attention/Executive,Executive,Organization,Planning,Nonverbal,Untimed,npsych_test,t_score,The organization of elements when copying a figure from a model,NA,"FGD Visuoconstruction drawing task involving a copy and immediate recall of a geometric figure of moderate complexity; the production is scored for the presence, accuracy, and placement of the elements, as well as overall organizational skill","Visuoconstruction, visuospatial skill, visual organization, and encoding of visuospatial material"
Figure Drawing Copy Fragmentation,nab_93,nab,NAB,Attention/Executive,Executive,Organization,Planning,Nonverbal,Untimed,npsych_test,t_score,The degree of fragmentation when copying a figure from a model,NA,"FGD Visuoconstruction drawing task involving a copy and immediate recall of a geometric figure of moderate complexity; the production is scored for the presence, accuracy, and placement of the elements, as well as overall organizational skill","Visuoconstruction, visuospatial skill, visual organization, and encoding of visuospatial material"
Figure Drawing Copy Planning,nab_94,nab,NAB,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,The planning involved in copying a figure from a model,NA,"FGD Visuoconstruction drawing task involving a copy and immediate recall of a geometric figure of moderate complexity; the production is scored for the presence, accuracy, and placement of the elements, as well as overall organizational skill","Visuoconstruction, visuospatial skill, visual organization, and encoding of visuospatial material"
Figure Drawing Immediate Recall,nab_95,nab,NAB,Memory,Delayed Recall,Visual Memory,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,The accuracy of recalling and drawing a figure immediately after seeing it,NA,"FGD Visuoconstruction drawing task involving a copy and immediate recall of a geometric figure of moderate complexity; the production is scored for the presence, accuracy, and placement of the elements, as well as overall organizational skill","Visuoconstruction, visuospatial skill, visual organization, and encoding of visuospatial material"
Figure Drawing Immediate Recall Organization,nab_96,nab,NAB,Attention/Executive,Executive,Organization,Planning,Nonverbal,Untimed,npsych_test,t_score,The organization of elements when recalling and drawing a figure immediately after seeing it,NA,"FGD Visuoconstruction drawing task involving a copy and immediate recall of a geometric figure of moderate complexity; the production is scored for the presence, accuracy, and placement of the elements, as well as overall organizational skill","Visuoconstruction, visuospatial skill, visual organization, and encoding of visuospatial material"
Figure Drawing Immediate Recall Fragmentation,nab_97,nab,NAB,Attention/Executive,Executive,Organization,Planning,Nonverbal,Untimed,npsych_test,t_score,The degree of fragmentation when recalling and drawing a figure immediately after seeing it,NA,"FGD Visuoconstruction drawing task involving a copy and immediate recall of a geometric figure of moderate complexity; the production is scored for the presence, accuracy, and placement of the elements, as well as overall organizational skill","Visuoconstruction, visuospatial skill, visual organization, and encoding of visuospatial material"
Figure Drawing Immediate Recall Planning,nab_98,nab,NAB,Attention/Executive,Executive,Planning,Planning,Nonverbal,Untimed,npsych_test,t_score,The planning involved in recalling and drawing a figure immediately after seeing it,NA,"FGD Visuoconstruction drawing task involving a copy and immediate recall of a geometric figure of moderate complexity; the production is scored for the presence, accuracy, and placement of the elements, as well as overall organizational skill","Visuoconstruction, visuospatial skill, visual organization, and encoding of visuospatial material"
Figure Drawing Percent Retention,nab_99,nab,NAB,Memory,Rapid Forgetting,Rapid Forgetting,Simultaneous,Nonverbal,Untimed,npsych_test,t_score,The percentage of the figure retained and accurately redrawn after a delay,NA,"FGD Visuoconstruction drawing task involving a copy and immediate recall of a geometric figure of moderate complexity; the production is scored for the presence, accuracy, and placement of the elements, as well as overall organizational skill","Visuoconstruction, visuospatial skill, visual organization, and encoding of visuospatial material"
Map Reading,nab_100,nab,NAB Daily Living,Daily Living,Everyday Spatial,Everyday Spatial,Planning,Nonverbal,Untimed,npsych_test,t_score,The ability to understand and interpret map information,NA,MAP Daily Living task in which the examinee answers questions (presented both orally and in writing) about a city map that has a compass rose and mileage legend,"Visuospatial skill, spatial/ directional and right-left orientation, and visual scanning"
Mazes,nab_101,nab,NAB,Attention/Executive,Executive,Planning,Planning,Nonverbal,Timed,npsych_test,t_score,"Planning and foresight, inhibition, and psychomotor speed examined through a series of timed maze-tracing tasks of increasing difficulty",NA,MAZ Seven timed paper-and-pencil mazes of increasing difficulty,"Planning, impulse control, and psychomotor speed"
Judgment,nab_102,nab,NAB Daily Living,Daily Living,Everyday Executive,Everyday Executive,Knowledge,Verbal,Untimed,npsych_test,t_score,Judgment and decision-making in everyday situations,NA,"JDG Daily Living test in which the examinee answers 10 judgment questions pertaining to home safety, health, and medical issues",Judgment and decisional capacity about issues and situations likely to be encountered in daily living
Categories,nab_103,nab,NAB,Attention/Executive,Executive,Concept Formation,Attention,NA,Untimed,npsych_test,t_score,Concept formation and abstract reasoning,NA,"CAT Classification and categorization task in which the examinee generates different two-group categories based on photographs and verbal information (e.g., name, occupation, place of birth, date of birth, marital status) about six people","Concept formation, cognitive response set, mental flexibility, generativity"
Word Generation,nab_104,nab,NAB,Attention/Executive,Executive,Generativity,Sequential,Verbal,Timed,npsych_test,t_score,"Retrieval fluency, ideational fluency, and generativity",NA,"WGN Timed task in which the examinee creates three-letter words from a group of eight letters (two vowels, six consonants) that are presented visually","Verbal fluency, generativity"
Word Generation Perseverations,nab_105,nab,NAB,Attention/Executive,Attention,Response Monitoring,Attention,Verbal,Timed,npsych_test,percentile,Self-monitoring and perseverative tendencies,NA,"WGN Timed task in which the examinee creates three-letter words from a group of eight letters (two vowels, six consonants) that are presented visually","Verbal fluency, generativity"